id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
268403,Two bedroom apt. in lovely house,1311843,Peter,,Roncesvalles,43.64436,-79.4426,Entire home/apt,120,30,7,2018-09-07,0.09,1,363,0,
269355,Elegant apartment in the heart of Toronto,1411076,Adam,,Casa Loma,43.68419,-79.40125,Entire home/apt,73,28,0,,,1,0,0,
273304,In the heart of Toronto downtown!,1409872,Ravish,,Church-Yonge Corridor,43.6605,-79.38057,Private room,171,28,0,,,1,0,0,
288341,Beautiful Victorian Home,1368256,Robert,,North St.James Town,43.67098,-79.37434,Entire home/apt,150,14,18,2017-08-13,0.19,1,350,2,STR-2009-GXRRPH
307726,Boutique Chic at Maple Leaf Square,1108156,Karen,,Waterfront Communities-The Island,43.64221,-79.38061,Entire home/apt,88,28,62,2021-03-04,0.93,1,211,2,
309402,"Central, beside subway, indoor pool, shared space",1591140,Christina,,Leaside-Bennington,43.70819,-79.37534,Shared room,57,1,107,2019-09-26,1.02,2,186,16,STR-2011-HMBDVK
314459,Cosy room by Toronto's Danforth Ave,1615944,Julia,,Blake-Jones,43.67739,-79.33599,Private room,31,28,37,2013-09-01,0.37,1,0,0,
325432,"Great 'hood, no car needed, 3.5br",1664812,Mark,,High Park North,43.66106,-79.45605,Entire home/apt,260,28,0,,,1,0,0,
361557,Downtown/Stylish 2 Bdr.   Apt /Garden +Parking,174063,Denis,,South Parkdale,43.63557,-79.43999,Entire home/apt,100,28,66,2021-11-17,0.74,4,309,4,
361831,Townhome/Condo at The Mona Lisa,1828773,Silvana,,Willowdale East,43.77873,-79.41245,Private room,140,28,0,,,1,0,0,
363057,Charming Century House in Beaches,1816495,Katharine,,The Beaches,43.67262,-79.30057,Entire home/apt,232,28,2,2017-07-05,0.07,2,339,0,
366973,Spacious Modern Cozy King W Toronto,1015670,Grace,,Waterfront Communities-The Island,43.64226,-79.40076,Entire home/apt,361,28,9,2017-09-12,0.10,1,358,0,
380910,Fab 1 Bdrm Apt Close to Everything,1910540,Les,,Danforth,43.67985,-79.34235,Entire home/apt,129,2,47,2021-06-22,0.52,1,195,15,STR-2101-HYRVHL
382186,Downtown Maple Leaf Square Condo,1812059,Petros,,Waterfront Communities-The Island,43.64362,-79.38198,Entire home/apt,203,28,15,2014-05-03,0.13,1,89,0,
390395,SUNNY DBL CORKTOWN BREAKFAST EAST DOWNTOWN,1952926,Sean,,Moss Park,43.65612,-79.36054,Private room,60,28,828,2019-12-01,7.23,1,34,0,
394627,Furnished Downtown Studio Suite,304551,Kintoo,,University,43.66269,-79.40938,Entire home/apt,45,58,3,2021-08-31,0.03,4,225,1,
403200,Yonge & Bloor Lakview Bedroom,195095,Urbano,,Rosedale-Moore Park,43.67176,-79.38555,Private room,83,28,3,2018-08-31,0.03,16,244,0,
406646,1BR-Close to Don Mills & Eglinton 202,1854872,Nadarajah,,Flemingdon Park,43.72054,-79.33524,Private room,45,28,33,2017-04-30,0.76,5,97,1,
413276,Yonge & Wellesley Prime Downtown Full Apartment,2056128,Robert,,Church-Yonge Corridor,43.66429,-79.383,Entire home/apt,155,2,68,2018-12-26,0.60,2,3,0,STR-2010-HGDRPJ
415104,Furnished Luxury Condos North York,2064477,David,,Willowdale East,43.76127,-79.40824,Entire home/apt,155,30,4,2019-11-02,0.14,4,88,0,
415110,Downtown Furnished Luxury Condo Toronto,2064477,David,,Waterfront Communities-The Island,43.64411,-79.39142,Entire home/apt,120,30,1,2019-09-01,0.04,4,178,0,
415111,Luxury Condo North York - Two Bedroom Suite,2064477,David,,Willowdale East,43.76292,-79.40878,Entire home/apt,225,30,5,2019-09-11,0.17,4,89,0,
415135,Torontos Entertainment District,2064477,David,,Waterfront Communities-The Island,43.64615,-79.39275,Entire home/apt,145,30,2,2017-07-11,0.04,4,358,0,
429943,Super Studio in the Upper Beach,377846,Nick & Nena,,East End-Danforth,43.68672,-79.29328,Entire home/apt,57,28,41,2021-08-27,0.54,10,326,2,
436403,"Heritage Home: Massive,  Pool Table,  Home Office",31397994,Mathieu,,Moss Park,43.66135,-79.37562,Entire home/apt,140,28,235,2020-10-23,2.25,6,306,3,
449650,Colourful Victorian Semi With Original Artwork and a Piano,1402232,Abigail,,South Parkdale,43.64134,-79.43027,Entire home/apt,214,28,256,2020-12-10,4.10,5,219,2,
454176,Avail Feb 1/22. Perfect Pied-a-Terre Beach Hill,2256396,John,,Woodbine Corridor,43.67743,-79.31033,Entire home/apt,60,180,1,2012-08-01,0.01,1,362,0,
455640,Charming House in Great Location,591649,Melissa,,Humewood-Cedarvale,43.68657,-79.42246,Entire home/apt,140,30,9,2015-07-31,0.08,2,0,0,
456371,Calming Bedroom 1 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67549,-79.3104,Private room,33,30,19,2018-07-12,0.21,3,0,0,
457588,Furnished Luxury @ The Eaton Centre,1805882,Elisabeth,,Church-Yonge Corridor,43.65463,-79.38007,Entire home/apt,300,28,7,2016-01-12,0.07,3,365,0,Exempt
462366,Quaint Mid-Town Toronto Guestroom,2297131,Liz,,Brookhaven-Amesbury,43.7054,-79.48584,Private room,55,28,33,2019-08-14,0.32,1,365,0,
466650,Spacious Scandinavian Style Home in King West,1039434,Juli,,Niagara,43.64322,-79.40293,Entire home/apt,199,28,61,2020-12-01,1.06,2,131,0,
473827,Designer-inspired Toronto living.,2349264,George / John,,Oakwood Village,43.6879,-79.43938,Entire home/apt,115,60,99,2020-02-06,1.13,1,339,0,
495303,Your Home In Toronto,1241161,Danny,,Dovercourt-Wallace Emerson-Junction,43.66446,-79.42537,Entire home/apt,106,29,115,2019-09-15,2.19,2,90,0,
497259,Spacious Modern House in Leslieville w/Parking,2318099,Andjelija,,South Riverdale,43.65719,-79.34745,Entire home/apt,213,28,3,2014-08-16,0.03,1,362,0,
511141,Victorian Charmer in West Queen West,2518222,Katie & Philippe,,Little Portugal,43.64731,-79.43029,Entire home/apt,138,28,119,2019-07-28,1.58,3,0,0,
516823,Cozy + Clean Studio in the Junction,3251330,Inga,,Junction Area,43.66672,-79.47492,Entire home/apt,78,29,176,2018-11-25,1.73,1,0,4,
517709,Bright House with Vegetable Garden,2549053,Nathalie,,Trinity-Bellwoods,43.65131,-79.4116,Entire home/apt,225,90,76,2018-06-06,0.77,1,280,0,
526594,Small Dog friendly Apt Garden Free Park EV charger,2588098,Reiner,,Willowdale East,43.76651,-79.40411,Entire home/apt,108,28,6,2013-01-19,0.07,1,180,0,
529227,Little Italy-4 bedroom house,2600229,Orsolya,,Palmerston-Little Italy,43.65836,-79.42479,Entire home/apt,295,28,18,2018-08-19,0.34,1,220,0,
533659,Best View in Downtown 5 Star Luxury,1019968,Roman,,Waterfront Communities-The Island,43.63927,-79.38206,Entire home/apt,226,20,157,2021-09-13,2.17,1,157,8,STR-2011-FLKRVB
543810,Spacious 1+1 Condo Downtown Toronto,2671905,R.,,Waterfront Communities-The Island,43.63942,-79.39216,Entire home/apt,199,28,11,2015-08-16,0.11,1,0,0,
547777,A Beautiful Funky Toronto Apartment,2692759,Ayelet And Sean,,Palmerston-Little Italy,43.66051,-79.42741,Entire home/apt,90,28,3,2017-10-17,0.03,1,0,0,
557915,Furnished Luxury Studio Suite,785826,Sky View,,Church-Yonge Corridor,43.65487,-79.37942,Entire home/apt,85,30,3,2016-11-26,0.04,123,0,0,
571429,Chic Upper Beach 3 Bedroom Beauty,377846,Nick & Nena,,East End-Danforth,43.68519,-79.29338,Entire home/apt,125,28,32,2019-06-18,0.39,10,280,2,
573892,DOWNTOWN TORONTO LUXURY FURNISHED CORPORATE SUITE,2175675,Frank,,Waterfront Communities-The Island,43.64278,-79.37985,Entire home/apt,149,28,82,2019-07-01,3.48,3,188,0,
579918,Luxury Queen West Private Loft,1160065,Vonnell,,Niagara,43.63987,-79.42034,Entire home/apt,130,28,13,2019-08-28,0.13,1,0,0,
593324,Charming Victorian in Leslieville,2929774,Susan,,South Riverdale,43.66114,-79.34742,Entire home/apt,115,28,7,2015-10-06,0.08,1,0,0,
602407,Large bedroom with private bathroom,2980659,Nanou,,Woodbine Corridor,43.67774,-79.31352,Private room,71,28,40,2014-10-06,0.36,1,364,0,
611735,Comfort and  Quiet,1241161,Danny,,Dovercourt-Wallace Emerson-Junction,43.66377,-79.42463,Private room,82,29,10,2018-08-05,0.09,2,0,0,
613695,House in Little Italy,2741309,Sean,,Palmerston-Little Italy,43.65971,-79.41234,Entire home/apt,75,28,0,,,1,0,0,
624190,Danforth/Greek Town  appartment,3096162,Brigitt,,Broadview North,43.69032,-79.35236,Entire home/apt,450,28,0,,,1,0,0,
625877,Calming Bedroom 2 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67639,-79.31017,Private room,35,30,17,2020-01-01,0.18,3,0,0,
625942,Calming Bedroom 3 - Beaches Toronto,2268652,Julie,,Woodbine Corridor,43.67739,-79.31034,Private room,37,28,9,2017-10-08,0.15,3,0,0,
627217,parking space only,3057451,Jessica,,Weston-Pellam Park,43.67368,-79.46032,Shared room,100,28,0,,,1,0,0,
638500,3 bdrm on Queen West TO,3178928,Lisa Marie,,South Parkdale,43.63907,-79.44036,Entire home/apt,95,28,10,2016-09-26,0.13,1,0,0,
638586,Toronto Downtown near TIFF &  Convention Centre,3186285,Solange,,Waterfront Communities-The Island,43.64356,-79.3903,Entire home/apt,200,28,62,2018-11-05,0.81,1,328,1,
641115,Beautiful Victorian Downtown Home,303044,Jason,,Church-Yonge Corridor,43.65982,-79.38115,Private room,48,60,0,,,1,247,0,
